,Date,Closing_P,Highest_P,Lowest_P,Opening_P,Volume,lag1,lag2,lag7,Return_1d,Return_7d,EMA_9,EMA_20,RSI_14,MACD,Signal,BB_Middle,BB_Upper,BB_Lower,volume_ratio,volume_ratio_7d,uptrend,BB_position,MACD_signal,RSI_zone,NextDay_Closing_P
50,2020-05-21,9081.76171875,9555.2421875,8869.9306640625,9522.740234375,39326160532,9522.9814453125,9729.0380859375,9733.7216796875,-4.633209978369557,-6.697951537879099,9403.37885708281,9158.474079259462,38.94926641614577,340.88729900076396,401.78258594518144,9303.067626953125,10114.617134003973,8491.518119902277,1.0760658511406798,0.9783960436941154,1,0.36365224408345365,0,1.0,9182.5771484375
51,2020-05-22,9182.5771484375,9232.9365234375,9008.638671875,9080.3349609375,29810773699,9081.76171875,9522.9814453125,9328.197265625,1.110086707949609,-1.5610745896650347,9359.21811197249,9160.782287897857,41.5960484465152,301.73908766157183,381.77370351961935,9312.766650390626,10113.05007636837,8512.483224412881,0.7580392617973154,0.7934015584715719,1,0.41866037848149423,0,1.0,9209.287109375
52,2020-05-23,9209.287109375,9302.501953125,9118.1083984375,9185.0625,27727866812,9182.5771484375,9081.76171875,9377.013671875,0.29087652089092586,-1.7886991356648174,9329.231692326985,9165.424866292558,44.80986094791991,269.72491354586055,359.3637817641808,9328.357568359375,10106.415684694692,8550.299452024059,0.9301290564266746,0.762422689261493,1,0.42348228462341486,0,1.0,8790.3681640625
53,2020-05-24,8790.3681640625,9288.404296875,8787.2509765625,9212.283203125,32518803300,9209.287109375,9182.5771484375,9670.7392578125,-4.548874851409979,-9.103451869398638,9221.458356630463,9129.54384956992,50.51629373833392,208.635481203597,329.2179454193074,9322.24326171875,10115.823324097822,8528.663199339677,1.1727841712629183,0.9215434600627276,1,0.16488882289851017,0,1.0,8906.9345703125
54,2020-05-25,8906.9345703125,8951.005859375,8719.66796875,8786.107421875,31288157264,8790.3681640625,9209.287109375,9726.5751953125,1.3260696716498988,-8.426816310380314,9158.553305172196,9108.256367176728,54.69649582269166,167.5739127668603,296.88898769257906,9317.436474609374,10120.267266478764,8514.605682739984,0.9621558633432246,0.9261850536591876,1,0.24434095674069664,0,1.0,8835.052734375
55,2020-05-26,8835.052734375,8991.9677734375,8757.2939453125,8909.5859375,29584186947,8906.9345703125,8790.3681640625,9729.0380859375,-0.8070322664891605,-9.188835973976506,9093.852948939984,9082.140852253158,50.49033626145421,127.8331020527985,263.07768406151735,9295.751025390626,10127.04320261618,8464.458848165072,0.9455394479571803,0.9130833799290224,1,0.22290230580948633,0,1.0,9181.017578125
56,2020-05-27,9181.017578125,9203.3203125,8834.1572265625,8837.380859375,32740536902,8835.052734375,8906.9345703125,9522.9814453125,3.9158209254817056,-3.5909328307662025,9111.2859269566,9091.589146922744,48.516297520252,122.52239066214679,234.96654124062562,9257.2259765625,10029.907005911482,8484.544947213519,1.1066904411013423,1.0277460554831068,1,0.4506857321825868,0,1.0,9525.7509765625
57,2020-05-28,9525.7509765625,9546.3193359375,9148.45703125,9184.9453125,34367073114,9181.017578125,8835.052734375,9081.76171875,3.7548495632866885,4.888801000975951,9194.179135367578,9133.062850174321,46.388434960218206,144.16937027438325,216.80706356406688,9241.380224609375,9975.548533361867,8507.211915856882,1.0496795827407657,1.1033405918560497,1,0.693668637397555,0,1.0,9439.1240234375
58,2020-05-29,9439.1240234375,9573.6669921875,9379.3388671875,9528.35546875,32896642044,9525.7509765625,9181.017578125,9182.5771484375,-0.9093976247976698,2.7938439378497826,9243.16820682598,9162.291209522424,52.16625479683101,152.63931188889,203.9734886447861,9233.6416015625,9955.321210068125,8511.961993056875,0.9572139569429613,1.0413942326138852,1,0.6423640209957509,0,1.0,9700.4140625
59,2020-05-30,9700.4140625,9704.0302734375,9366.7294921875,9438.9140625,32722975141,9439.1240234375,9525.7509765625,9209.287109375,2.768159825145977,5.332952999424201,9334.617518106445,9213.667718566718,55.83163928721865,178.1847693560212,198.81573688280153,9280.840771484374,9994.540242502473,8567.141300466275,0.9947208319083839,1.0130128799959213,1,0.793942554291865,0,1.0,9461.05859375
60,2020-05-31,9461.05859375,9700.34375,9432.296875,9700.10546875,27773290299,9700.4140625,9439.1240234375,8790.3681640625,-2.4674768232348376,7.629833212554971,9359.905764238456,9237.281447824267,46.143361972869734,177.23158755035183,194.49890172388712,9323.80390625,9965.176258204909,8682.43155429509,0.8487397670697023,0.8782152906655931,1,0.6070007828382741,0,1.0,10167.2685546875
61,2020-06-01,10167.2685546875,10199.5654296875,9450.8994140625,9463.60546875,35198901068,9461.05859375,9700.4140625,8906.9345703125,7.464386293982206,14.150030792589297,9521.378480700243,9326.03082962897,56.5407819428211,230.355174249049,201.67016326247233,9391.94345703125,10088.22313702864,8695.663777033858,1.2673651803246144,1.0936983492995211,1,1.056762691724075,1,1.0,9529.8037109375
62,2020-06-02,9529.8037109375,10182.3408203125,9460.5712890625,10162.9736328125,39137252109,10167.2685546875,9461.05859375,8835.052734375,-6.269774820259899,7.863574756711933,9523.063528069846,9345.47328575507,47.51194295674096,218.86234979357687,205.10860326662294,9404.93427734375,10101.328378403563,8708.540176283936,1.1118884658754427,1.1666012977156035,1,0.589654287280519,1,1.0,9656.7177734375
63,2020-06-03,9656.7177734375,9682.859375,9471.8466796875,9533.7607421875,25007459262,9529.8037109375,10167.2685546875,9181.017578125,1.3317594606312655,5.181345000862647,9549.794393922613,9375.164689075067,51.703789926705646,217.41788577786974,207.5704613142056,9401.08408203125,10090.64226656807,8711.52589749443,0.6389681930747838,0.7708033699206172,1,0.6853604939646689,1,1.0,9800.63671875
64,2020-06-04,9800.63671875,9887.6103515625,9525.2470703125,9655.8544921875,25921805072,9656.7177734375,9529.8037109375,9525.7509765625,1.4903505382374727,2.8857120332437702,9599.962884081107,9415.746516985166,59.90903579232119,225.21509785867056,211.09939039521436,9424.7060546875,10135.783768480595,8713.628340894405,1.0365629231030835,0.8298455387333147,1,0.7643386628285515,1,1.0,9665.533203125
65,2020-06-05,9665.533203125,9869.2373046875,9663.216796875,9800.2158203125,23509628646,9800.63671875,9656.7177734375,9439.1240234375,-1.3785177382049874,2.3986249055031106,9613.076953158261,9439.567953099582,56.59477071714682,218.03944415650767,212.48740170508506,9439.13203125,10157.801953661983,8720.462108838015,0.9069441183088918,0.786382993761287,1,0.6575140163895813,1,1.0,9653.6796875
66,2020-06-06,9653.6796875,9773.431640625,9591.0244140625,9664.904296875,20438419222,9665.533203125,9800.63671875,9700.4140625,-0.12263695520872142,-0.481777114862203,9621.197502636453,9459.984537735509,56.092906725336775,208.99046935468687,211.7880150102312,9438.279052734375,10155.831164982788,8720.726940485962,0.8693637628120279,0.7262870747912841,1,0.6500940705830257,0,1.0,9758.8525390625
67,2020-06-07,9758.8525390625,9768.498046875,9458.150390625,9653.0029296875,25015250846,9653.6796875,9665.533203125,9461.05859375,1.0894586827723485,3.147575320051632,9648.728517000163,9488.479714524881,64.52847160164663,207.86599270872466,211.00361034825156,9439.892919921875,10160.314655103197,8719.471184740552,1.2239327598816194,0.9015492627730258,1,0.7213700694776697,0,1.0,9771.4892578125
68,2020-06-08,9771.4892578125,9782.306640625,9675.8857421875,9760.0634765625,21486346312,9758.8525390625,9653.6796875,10167.2685546875,0.1294898011771073,-3.892680661931869,9673.280670212716,9515.460038609652,63.386817862074516,205.6178825793013,209.92646457290545,9442.015478515625,10166.264143670802,8717.766813360447,0.8589298761893375,0.8331909063434684,1,0.7274590172881316,0,1.0,9795.7001953125
69,2020-06-09,9795.7001953125,9836.369140625,9664.7197265625,9774.3603515625,23717842783,9771.4892578125,9758.8525390625,9529.8037109375,0.24777121338637187,2.7901569900104617,9697.764579261513,9542.17379523873,65.09760695141615,203.43496243528898,208.62816393174623,9455.651416015626,10196.400002945982,8714.90282908527,1.1038564881435295,1.0056218388669214,1,0.7295304947566812,0,1.0,9870.0947265625
70,2020-06-10,9870.0947265625,9908.896484375,9728.291015625,9794.119140625,25706567601,9795.7001953125,9771.4892578125,9656.7177734375,0.7594610876882513,2.209621924666072,9732.230613258833,9573.42999740684,61.84027844198941,205.31621759405243,207.96577457701028,9495.06806640625,10235.944010750381,8754.192122062117,1.0838493127809008,1.0853465984244899,1,0.7530967991464798,0,1.0,9321.78125
71,2020-06-11,9321.78125,9938.2978515625,9263.0693359375,9870.078125,30247143440,9870.0947265625,9795.7001953125,9800.63671875,-5.555301055894358,-4.88596284600451,9650.140731961992,9549.44565093911,46.72439431915736,160.86820832021476,198.54626033366054,9502.028271484374,10233.093880340057,8770.962662628692,1.1766309648754263,1.2445833059681615,1,0.3767230879821374,0,1.0,9480.84375
72,2020-06-12,9480.84375,9540.4658203125,9285.8515625,9320.6904296875,22610564515,9321.78125,9870.0947265625,9665.533203125,1.7063530642279279,-1.9108046006741541,9616.281332716944,9542.907746782459,50.65475546406086,136.85751605325277,186.2085104381256,9515.606103515625,10233.752055057183,8797.460151974068,0.7475272684791421,0.9353028897065985,1,0.47579715276469553,0,1.0,9475.27734375
73,2020-06-13,9475.27734375,9493.2119140625,9396.009765625,9480.7353515625,17564322315,9480.84375,9321.78125,9653.6796875,-0.05871213994007585,-1.848024271832871,9588.080533022823,9536.462840805796,46.15830950954207,116.04343181472905,172.1754937676228,9549.8515625,10182.629223205853,8917.073901794147,0.7768192741648582,0.739114556577779,1,0.44107391633673215,0,1.0,9386.7880859375
74,2020-06-14,9386.7880859375,9482.2705078125,9347.59375,9477.5537109375,18991732746,9475.27734375,9480.84375,9758.8525390625,-0.9338962291258746,-3.8125840270227362,9547.822041435025,9522.200263060511,48.663868602238566,91.37512807262283,156.01541975727335,9573.84423828125,10136.48283710162,9011.20563946088,1.0812676063101498,0.8292064711050529,1,0.33376882359659216,0,1.0,9450.7021484375
